                         "Surface Integral Report"

           Area-Weighted Average
             Turbulent Viscosity           [kg/(m s)]
-------------------------------- --------------------
                        x10y10z1         0.0051234107
                        x10y11z1         0.0066916417
                        x10y12z1         0.0071964913
                        x10y13z1          0.016189244
                        x10y14z1          0.011043473
                        x10y15z1          0.012317183
                        x10y16z1          0.018528503
                        x10y17z1          0.011692712
                        x10y18z1          0.004394805
                        x10y19z1         0.0017088993
                         x10y1z1         0.0082267858
                         x10y2z1         0.0044759691
                         x10y3z1         0.0043375911
                         x10y4z1         0.0057807296
                         x10y5z1         0.0068797179
                         x10y6z1         0.0068795703
                         x10y7z1         0.0077031093
                         x10y8z1         0.0063856584
                         x10y9z1         0.0059213284
                        x11y10z1         0.0061348536
                        x11y11z1         0.0054526105
                        x11y12z1         0.0046789668
                        x11y13z1          0.010259111
                        x11y14z1         0.0085314415
                        x11y15z1          0.012883925
                        x11y16z1          0.016832588
                        x11y17z1          0.010470455
                        x11y18z1          0.004696091
                        x11y19z1          0.002971597
                         x11y9z1         0.0056936425
                        x12y10z1         0.0056840217
                        x12y11z1         0.0041536237
                        x12y12z1        0.00088233444
                        x12y13z1          0.005951909
                        x12y14z1         0.0089274969
                        x12y15z1          0.012498787
                        x12y16z1          0.014099672
                        x12y17z1         0.0087950892
                        x12y18z1         0.0055066586
                        x12y19z1         0.0044831963
                         x12y3z1         0.0059153019
                         x12y4z1         0.0080718033
                         x12y5z1          0.010072463
                         x12y6z1          0.011382867
                         x12y7z1          0.010006412
                         x12y8z1          0.004985947
                         x12y9z1            0.0111681
                        x13y10z1         0.0081648097
                        x13y11z1         0.0029179434
                        x13y12z1         0.0029479842
                        x13y13z1         0.0068456273
                        x13y14z1           0.01096863
                        x13y15z1          0.013538503
                        x13y16z1          0.013215343
                        x13y17z1          0.011719852
                        x13y18z1          0.007546393
                        x13y19z1         0.0067957541
                         x13y3z1         0.0038629882
                         x13y4z1         0.0086067028
                         x13y5z1          0.012604418
                         x13y6z1           0.01327412
                         x13y7z1          0.023135757
                         x13y8z1           0.01148873
                         x13y9z1          0.020182142
                        x14y10z1         0.0079622621
                        x14y11z1         0.0049380198
                        x14y12z1         0.0064913191
                        x14y13z1          0.010140338
                        x14y14z1          0.013550378
                        x14y15z1          0.013318248
                        x14y16z1          0.011103815
                        x14y17z1          0.010375402
                        x14y18z1         0.0064530006
                        x14y19z1         0.0090650548
                         x14y3z1          0.006647213
                         x14y4z1         0.0081821746
                         x14y5z1          0.009866396
                         x14y6z1          0.010716468
                         x14y7z1          0.019113064
                         x14y8z1          0.013893713
                         x14y9z1          0.018317138
                        x15y10z1         0.0070842601
                        x15y11z1          0.010250778
                        x15y12z1          0.010398262
                        x15y13z1         0.0072213408
                        x15y14z1          0.011738129
                        x15y15z1         0.0096865642
                        x15y16z1          0.010894665
                        x15y17z1         0.0088621641
                        x15y18z1         0.0052972253
                        x15y19z1         0.0037953311
                        x15y20z1          0.002784839
                        x15y21z1         0.0015497308
                        x15y22z1        0.00025700869
                        x15y23z1        0.00028921536
                        x15y24z1         0.0003500556
                         x15y3z1         0.0067729831
                         x15y4z1         0.0097905182
                         x15y5z1          0.012162034
                         x15y6z1          0.011735916
                         x15y7z1          0.019616844
                         x15y8z1          0.014720718
                         x15y9z1           0.01439266
                        x16y10z1         0.0054009379
                        x16y11z1         0.0066848132
                        x16y12z1         0.0087210808
                        x16y13z1         0.0078884438
                        x16y14z1         0.0092657898
                        x16y15z1          0.011843783
                        x16y16z1          0.010638887
                        x16y17z1          0.007612045
                        x16y18z1         0.0043814284
                        x16y19z1         0.0045601115
                        x16y20z1         0.0043164935
                        x16y21z1         0.0017554503
                        x16y22z1        0.00029809132
                        x16y23z1        0.00019675826
                        x16y24z1         0.0005114666
                         x16y3z1         0.0054181435
                         x16y4z1         0.0077715372
                         x16y5z1         0.0098986635
                         x16y6z1          0.011504298
                         x16y7z1          0.019513813
                         x16y8z1          0.010322141
                         x16y9z1          0.017522708
                        x17y10z1         0.0056044507
                        x17y11z1         0.0032352179
                        x17y12z1         0.0035260059
                        x17y13z1         0.0044238912
                        x17y14z1         0.0092909135
                        x17y15z1          0.012946471
                        x17y16z1           0.01094734
                        x17y17z1         0.0072723392
                        x17y18z1         0.0032426398
